"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,66,"DOM","Dominican Republic",1,"Azua","DO.AZ",NA,"","Provincia","Province","",""
2,66,"DOM","Dominican Republic",2,"Bahoruco","DO.BR",NA,"","Provincia","Province","","Baoruco"
3,66,"DOM","Dominican Republic",3,"Barahona","DO.BH",NA,"","Provincia","Province","",""
4,66,"DOM","Dominican Republic",4,"Dajabón","DO.DA",NA,"","Provincia","Province","","Libertador"
5,66,"DOM","Dominican Republic",5,"Distrito Nacional","DO.NC",NA,"","Distrito","National District","",""
6,66,"DOM","Dominican Republic",6,"Duarte","DO.DU",NA,"","Provincia","Province","",""
7,66,"DOM","Dominican Republic",7,"El Seybo","DO.SE",NA,"","Provincia","Province","","El Seibo"
8,66,"DOM","Dominican Republic",8,"Espaillat","DO.ES",NA,"","Provincia","Province","",""
9,66,"DOM","Dominican Republic",9,"Hato Mayor","DO.HM",NA,"","Provincia","Province","","Hato Major"
10,66,"DOM","Dominican Republic",10,"Independencia","DO.IN",NA,"","Provincia","Province","",""
11,66,"DOM","Dominican Republic",11,"La Altagracia","DO.AL",NA,"","Provincia","Province","",""
12,66,"DOM","Dominican Republic",12,"La Estrelleta","DO.EP",NA,"","Provincia","Province","","Elías Piña|San Rafael"
13,66,"DOM","Dominican Republic",13,"La Romana","DO.RO",NA,"","Provincia","Province","",""
14,66,"DOM","Dominican Republic",14,"La Vega","DO.VE",NA,"","Provincia","Province","",""
15,66,"DOM","Dominican Republic",15,"María Trinidad Sánchez","DO.MT",NA,"","Provincia","Province","","Maria Trinidad S|Trinidad S nchez Nagua"
16,66,"DOM","Dominican Republic",16,"Monseñor Nouel","DO.MN",NA,"","Provincia","Province","","Monsenor Novel"
17,66,"DOM","Dominican Republic",17,"Monte Cristi","DO.MC",NA,"","Provincia","Province","",""
18,66,"DOM","Dominican Republic",18,"Monte Plata","DO.MP",NA,"","Provincia","Province","",""
19,66,"DOM","Dominican Republic",19,"Pedernales","DO.PN",NA,"","Provincia","Province","",""
20,66,"DOM","Dominican Republic",20,"Peravia","DO.PV",NA,"","Provincia","Province","","José Trujillo Valdez"
21,66,"DOM","Dominican Republic",21,"Puerto Plata","DO.PP",NA,"","Provincia","Province","",""
22,66,"DOM","Dominican Republic",22,"Sánchez Ramírez","DO.SZ",NA,"","Provincia","Province","",""
23,66,"DOM","Dominican Republic",23,"Salcedo","DO.SC",NA,"","Provincia","Province","","Hermanas Mirabal"
24,66,"DOM","Dominican Republic",24,"Samaná","DO.SM",NA,"","Provincia","Province","",""
25,66,"DOM","Dominican Republic",25,"San Cristóbal","DO.CR",NA,"","Provincia","Province","","Trujillo"
26,66,"DOM","Dominican Republic",26,"San José de Ocoa","DO.JO",NA,"","Provincia","Province","","José Trujillo Valdez"
27,66,"DOM","Dominican Republic",27,"San Juan","DO.JU",NA,"","Provincia","Province","","Benefactor|San Juan de la Maguana"
28,66,"DOM","Dominican Republic",28,"San Pedro de Macorís","DO.PM",NA,"","Provincia","Province","",""
29,66,"DOM","Dominican Republic",29,"Santiago Rodríguez","DO.SR",NA,"","Provincia","Province","","Santiago Rodriguez"
30,66,"DOM","Dominican Republic",30,"Santiago","DO.ST",NA,"","Provincia","Province","","Santiago de los Caballeros"
31,66,"DOM","Dominican Republic",31,"Santo Domingo","DO.SD",NA,"","Provincia","Province","",""
32,66,"DOM","Dominican Republic",32,"Valverde","DO.VA",NA,"","Provincia","Province","",""
