"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,66,"DOM","Dominican Republic",1,"Azua",1,"Azua de Compostela","DO.AZ.AC",NA,"","Municipio","Municipality","",""
2,66,"DOM","Dominican Republic",1,"Azua",2,"Estebania","DO.AZ.ES",NA,"","Distrito municipal","Municipal district","",""
3,66,"DOM","Dominican Republic",1,"Azua",3,"Guayabal","DO.AZ.GU",NA,"","Distrito municipal","Municipal district","",""
4,66,"DOM","Dominican Republic",1,"Azua",4,"Las Charcas","DO.AZ.LC",NA,"","Distrito municipal","Municipal district","",""
5,66,"DOM","Dominican Republic",1,"Azua",5,"Las Yayas de Viajama","DO.AZ.YV",NA,"","Distrito municipal","Municipal district","",""
6,66,"DOM","Dominican Republic",1,"Azua",6,"Padre Las Casas","DO.AZ.PL",NA,"","Municipio","Municipality","",""
7,66,"DOM","Dominican Republic",1,"Azua",7,"Peralta","DO.AZ.PR",NA,"","Municipio","Municipality","",""
8,66,"DOM","Dominican Republic",1,"Azua",8,"Pueblo Viejo","DO.AZ.PV",NA,"","Distrito municipal","Municipal district","",""
9,66,"DOM","Dominican Republic",1,"Azua",9,"Sabana Yegua","DO.AZ.SY",NA,"","Distrito municipal","Municipal district","",""
10,66,"DOM","Dominican Republic",1,"Azua",10,"Villa Tabara Arriba","DO.AZ.VT",NA,"","Municipio","Municipality","",""
11,66,"DOM","Dominican Republic",2,"Bahoruco",11,"Galvan","DO.BR.GA",NA,"","Distrito municipal","Municipal district","",""
12,66,"DOM","Dominican Republic",2,"Bahoruco",12,"Los Rios","DO.BR.LR",NA,"","Distrito municipal","Municipal district","",""
13,66,"DOM","Dominican Republic",2,"Bahoruco",13,"Neyba","DO.BR.NE",NA,"","Municipio","Municipality","",""
14,66,"DOM","Dominican Republic",2,"Bahoruco",14,"Tamayo","DO.BR.TA",NA,"","Municipio","Municipality","",""
15,66,"DOM","Dominican Republic",2,"Bahoruco",15,"Villa Jaragua","DO.BR.VJ",NA,"","Municipio","Municipality","",""
16,66,"DOM","Dominican Republic",3,"Barahona",16,"Cabral","DO.BH.CA",NA,"","Municipio","Municipality","",""
17,66,"DOM","Dominican Republic",3,"Barahona",17,"El Peñón","DO.BH.EP",NA,"","Distrito municipal","Municipal district","",""
18,66,"DOM","Dominican Republic",3,"Barahona",18,"Enriquillo","DO.BH.EN",NA,"","Municipio","Municipality","",""
19,66,"DOM","Dominican Republic",3,"Barahona",19,"Fundación","DO.BH.FU",NA,"","Distrito municipal","Municipal district","",""
20,66,"DOM","Dominican Republic",3,"Barahona",20,"Jaquimeyes","DO.BH.JQ",NA,"","","Municipal district","",""
21,66,"DOM","Dominican Republic",3,"Barahona",21,"La Cienaga","DO.BH.LC",NA,"","Distrito municipal","Municipal district","",""
22,66,"DOM","Dominican Republic",3,"Barahona",22,"Las Salinas","DO.BH.LS",NA,"","Distrito municipal","Municipal district","",""
23,66,"DOM","Dominican Republic",3,"Barahona",23,"Paraiso","DO.BH.PA",NA,"","Municipio","Municipality","",""
24,66,"DOM","Dominican Republic",3,"Barahona",24,"Polo","DO.BH.PO",NA,"","Distrito municipal","Municipal district","",""
25,66,"DOM","Dominican Republic",3,"Barahona",25,"Santa Cruz de Barahona","DO.BH.SC",NA,"","Municipio","Municipality","","Barahona"
26,66,"DOM","Dominican Republic",3,"Barahona",26,"Vicente Noble","DO.BH.VN",NA,"","Municipio","Municipality","",""
27,66,"DOM","Dominican Republic",4,"Dajabón",27,"Dajabón","DO.DA.DA",NA,"","Municipio","Municipality","",""
28,66,"DOM","Dominican Republic",4,"Dajabón",28,"El Pino","DO.DA.EP",NA,"","Distrito municipal","Municipal district","",""
29,66,"DOM","Dominican Republic",4,"Dajabón",29,"Loma de Cabrera","DO.DA.LC",NA,"","Municipio","Municipality","",""
30,66,"DOM","Dominican Republic",4,"Dajabón",30,"Partido
","DO.DA.PA",NA,"","Distrito municipal","Municipal district","",""
31,66,"DOM","Dominican Republic",4,"Dajabón",31,"Restauración","DO.DA.RE",NA,"","Municipio","Municipality","",""
32,66,"DOM","Dominican Republic",5,"Distrito Nacional",32,"Distrito Nacional","DO.NC.DN",NA,"","Municipio","Municipality","",""
33,66,"DOM","Dominican Republic",6,"Duarte",33,"Arenoso","DO.DU.AR",NA,"","Municipio","Municipality","",""
34,66,"DOM","Dominican Republic",6,"Duarte",34,"Castillo","DO.DU.CA",NA,"","Municipio","Municipality","",""
35,66,"DOM","Dominican Republic",6,"Duarte",35,"Hostos","DO.DU.HO",NA,"","Distrito municipal","Municipal district","",""
36,66,"DOM","Dominican Republic",6,"Duarte",36,"Las Guaranas","DO.DU.LG",NA,"","Distrito municipal","Municipal district","",""
37,66,"DOM","Dominican Republic",6,"Duarte",37,"Pimentel","DO.DU.PI",NA,"","Municipio","Municipality","",""
38,66,"DOM","Dominican Republic",6,"Duarte",38,"San Francisco de Macorís","DO.DU.SF",NA,"","Municipio","Municipality","",""
39,66,"DOM","Dominican Republic",6,"Duarte",39,"Villa Rivas","DO.DU.VR",NA,"","Municipio","Municipality","",""
40,66,"DOM","Dominican Republic",7,"El Seybo",40,"Miches","DO.SE.MI",NA,"","Municipio","Municipality","",""
41,66,"DOM","Dominican Republic",7,"El Seybo",41,"Santa Cruz del Seybo","DO.SE.SC",NA,"","Municipio","Municipality","",""
42,66,"DOM","Dominican Republic",8,"Espaillat",42,"Cayetano Germosén","DO.ES.CG",NA,"","Distrito municipal","Municipal district","",""
43,66,"DOM","Dominican Republic",8,"Espaillat",43,"Gaspar Hernández","DO.ES.GH",NA,"","Municipio","Municipality","",""
44,66,"DOM","Dominican Republic",8,"Espaillat",44,"Jamao al Norte","DO.ES.JN",NA,"","Distrito municipal","Municipal district","",""
45,66,"DOM","Dominican Republic",8,"Espaillat",45,"Moca
","DO.ES.MO",NA,"","Municipio","Municipality","",""
46,66,"DOM","Dominican Republic",9,"Hato Mayor",46,"El Valle","DO.HM.EV",NA,"","Municipio","Municipality","",""
47,66,"DOM","Dominican Republic",9,"Hato Mayor",47,"Hato Mayor del Rey","DO.HM.HM",NA,"","Municipio","Municipality","",""
48,66,"DOM","Dominican Republic",9,"Hato Mayor",48,"Sabana de la Mar","DO.HM.SM",NA,"","Municipio","Municipality","",""
49,66,"DOM","Dominican Republic",10,"Independencia",49,"Cristobal","DO.IN.CR",NA,"","Distrito municipal","Municipal district","",""
50,66,"DOM","Dominican Republic",10,"Independencia",50,"Duvergé","DO.IN.DU",NA,"","Municipio","Municipality","",""
51,66,"DOM","Dominican Republic",10,"Independencia",51,"Jimaní
","DO.IN.JI",NA,"","Municipio","Municipality","",""
52,66,"DOM","Dominican Republic",10,"Independencia",52,"La Descubierta","DO.IN.LD",NA,"","Municipio","Municipality","",""
53,66,"DOM","Dominican Republic",10,"Independencia",53,"Mella","DO.IN.ME",NA,"","Distrito municipal","Municipal district","",""
54,66,"DOM","Dominican Republic",10,"Independencia",54,"Postrer Rio","DO.IN.PR",NA,"","Municipio","Municipality","",""
55,66,"DOM","Dominican Republic",11,"La Altagracia",55,"La Laguna de Nisibón
","DO.AL.LN",NA,"","Distrito municipal","Municipal district","",""
56,66,"DOM","Dominican Republic",11,"La Altagracia",56,"Salvaleón de Higüey
","DO.AL.SH",NA,"","Municipio","Municipality","",""
57,66,"DOM","Dominican Republic",11,"La Altagracia",57,"San Rafael del Yuma","DO.AL.SR",NA,"","Municipio","Municipality","",""
58,66,"DOM","Dominican Republic",12,"La Estrelleta",58,"Banica","DO.EP.BA",NA,"","Municipio","Municipality","","San Francisco de Bánica"
59,66,"DOM","Dominican Republic",12,"La Estrelleta",59,"Comendador
","DO.EP.CO",NA,"","Municipio","Municipality","",""
60,66,"DOM","Dominican Republic",12,"La Estrelleta",60,"El Llano","DO.EP.EL",NA,"","Municipio","Municipality","",""
61,66,"DOM","Dominican Republic",12,"La Estrelleta",61,"Hondo Valle","DO.EP.HV",NA,"","Municipio","Municipality","",""
62,66,"DOM","Dominican Republic",12,"La Estrelleta",62,"Juan Santiago","DO.EP.JS",NA,"","Municipio","Municipality","",""
63,66,"DOM","Dominican Republic",12,"La Estrelleta",63,"Pedro Santana","DO.EP.PS",NA,"","Municipio","Municipality","",""
64,66,"DOM","Dominican Republic",13,"La Romana",64,"Guaymate","DO.RO.GU",NA,"","Municipio","Municipality","",""
65,66,"DOM","Dominican Republic",13,"La Romana",65,"La Romana","DO.RO.LR",NA,"","Municipio","Municipality","",""
66,66,"DOM","Dominican Republic",13,"La Romana",66,"Villa Hermosa","DO.RO.VH",NA,"","Distrito municipal","Municipal district","",""
67,66,"DOM","Dominican Republic",14,"La Vega",67,"Concepción de la Vega","DO.VE.CV",NA,"","Municipio","Municipality","",""
68,66,"DOM","Dominican Republic",14,"La Vega",68,"Constanza","DO.VE.CO",NA,"","Municipio","Municipality","",""
69,66,"DOM","Dominican Republic",14,"La Vega",69,"Jarabacoa","DO.VE.JB",NA,"","Municipio","Municipality","",""
70,66,"DOM","Dominican Republic",14,"La Vega",70,"Jima Abajo","DO.VE.JA",NA,"","Distrito municipal","Municipal district","",""
71,66,"DOM","Dominican Republic",15,"María Trinidad Sánchez",71,"Cabrera","DO.MT.CA",NA,"","Municipio","Municipality","",""
72,66,"DOM","Dominican Republic",15,"María Trinidad Sánchez",72,"El Factor","DO.MT.EF",NA,"","Municipio","Municipality","",""
73,66,"DOM","Dominican Republic",15,"María Trinidad Sánchez",73,"Nagua","DO.MT.NA",NA,"","Municipio","Municipality","",""
74,66,"DOM","Dominican Republic",15,"María Trinidad Sánchez",74,"Rio San Juan","DO.MT.RS",NA,"","Municipio","Municipality","",""
75,66,"DOM","Dominican Republic",16,"Monseñor Nouel",75,"Bonao","DO.MN.BO",NA,"","Municipio","Municipality","",""
76,66,"DOM","Dominican Republic",16,"Monseñor Nouel",76,"Maimón","DO.MN.MA",NA,"","Municipio","Municipality","",""
77,66,"DOM","Dominican Republic",16,"Monseñor Nouel",77,"Piedra Blanca","DO.MN.PB",NA,"","Municipio","Municipality","",""
78,66,"DOM","Dominican Republic",17,"Monte Cristi",78,"Castañuela
","DO.MC.CA",NA,"","Municipio","Municipality","",""
79,66,"DOM","Dominican Republic",17,"Monte Cristi",79,"Guayubín","DO.MC.GU",NA,"","Municipio","Municipality","",""
80,66,"DOM","Dominican Republic",17,"Monte Cristi",80,"Las Matas de Santa Cruz","DO.MC.LM",NA,"","Municipio","Municipality","",""
81,66,"DOM","Dominican Republic",17,"Monte Cristi",81,"Pepillo Salcedo
","DO.MC.PS",NA,"","Municipio","Municipality","",""
82,66,"DOM","Dominican Republic",17,"Monte Cristi",82,"San Fernando de Monte Cristi","DO.MC.SF",NA,"","Municipio","Municipality","","Montecristi"
83,66,"DOM","Dominican Republic",17,"Monte Cristi",83,"Villa Vázquez
","DO.MC.VV",NA,"","Municipio","Municipality","",""
84,66,"DOM","Dominican Republic",18,"Monte Plata",84,"Bayaguana
","DO.MP.BA",NA,"","Municipio","Municipality","",""
85,66,"DOM","Dominican Republic",18,"Monte Plata",85,"Esperalvillo","DO.MP.ES",NA,"","Distrito municipal","Municipal district","",""
86,66,"DOM","Dominican Republic",18,"Monte Plata",86,"Monte Plata","DO.MP.MP",NA,"","Municipio","Municipality","",""
87,66,"DOM","Dominican Republic",18,"Monte Plata",87,"Sabana Grande de Boyá","DO.MP.SG",NA,"","Municipio","Municipality","",""
88,66,"DOM","Dominican Republic",18,"Monte Plata",88,"Yamasá","DO.MP.YA",NA,"","Municipio","Municipality","",""
89,66,"DOM","Dominican Republic",19,"Pedernales",89,"Pedernales","DO.PN.PE",NA,"","Municipio","Municipality","",""
90,66,"DOM","Dominican Republic",20,"Peravia",90,"Baní","DO.PV.BA",NA,"","Municipio","Municipality","",""
91,66,"DOM","Dominican Republic",20,"Peravia",91,"Nizao","DO.PV.NI",NA,"","Municipio","Municipality","",""
92,66,"DOM","Dominican Republic",21,"Puerto Plata",92,"Altamira","DO.PP.AL",NA,"","Municipio","Municipality","",""
93,66,"DOM","Dominican Republic",21,"Puerto Plata",93,"Guananico","DO.PP.GU",NA,"","Municipio","Municipality","",""
94,66,"DOM","Dominican Republic",21,"Puerto Plata",94,"Imbert","DO.PP.IM",NA,"","Municipio","Municipality","",""
95,66,"DOM","Dominican Republic",21,"Puerto Plata",95,"La Isabela","DO.PP.LI",NA,"","Municipio","Municipality","",""
96,66,"DOM","Dominican Republic",21,"Puerto Plata",96,"Los Hidalgos","DO.PP.LH",NA,"","Municipio","Municipality","",""
97,66,"DOM","Dominican Republic",21,"Puerto Plata",97,"Luperon","DO.PP.LU",NA,"","Municipio","Municipality","",""
98,66,"DOM","Dominican Republic",21,"Puerto Plata",98,"Montellano","DO.PP.VM",NA,"","Municipio","Municipality","","Villa Montellano"
99,66,"DOM","Dominican Republic",21,"Puerto Plata",99,"San Felipe de Puerto Plata","DO.PP.SF",NA,"","Municipio","Municipality","",""
100,66,"DOM","Dominican Republic",21,"Puerto Plata",100,"Sosua","DO.PP.SO",NA,"","Municipio","Municipality","",""
101,66,"DOM","Dominican Republic",22,"Sánchez Ramírez",101,"Cevicos","DO.SZ.CE",NA,"","Municipio","Municipality","",""
102,66,"DOM","Dominican Republic",22,"Sánchez Ramírez",102,"Cotuí","DO.SZ.CO",NA,"","Municipio","Municipality","",""
103,66,"DOM","Dominican Republic",22,"Sánchez Ramírez",103,"Fantino","DO.SZ.FA",NA,"","Municipio","Municipality","",""
104,66,"DOM","Dominican Republic",22,"Sánchez Ramírez",104,"La Mata","DO.SZ.LM",NA,"","Distrito municipal","Municipal district","",""
105,66,"DOM","Dominican Republic",23,"Salcedo",105,"Salcedo","DO.SC.SA",NA,"","Municipio","Municipality","",""
106,66,"DOM","Dominican Republic",23,"Salcedo",106,"Tenares","DO.SC.TE",NA,"","Municipio","Municipality","",""
107,66,"DOM","Dominican Republic",23,"Salcedo",107,"Villa Tapia","DO.SC.VT",NA,"","Municipio","Municipality","",""
108,66,"DOM","Dominican Republic",24,"Samaná",108,"Las Terrenas","DO.SM.LT",NA,"","Distrito municipal","Municipal district","",""
109,66,"DOM","Dominican Republic",24,"Samaná",109,"Sánchez","DO.SM.SA",NA,"","Municipio","Municipality","",""
110,66,"DOM","Dominican Republic",24,"Samaná",110,"Santa Bárbara de Samaná","DO.SM.SB",NA,"","Municipio","Municipality","",""
111,66,"DOM","Dominican Republic",25,"San Cristóbal",111,"Bajos de Haina","DO.CR.BH",NA,"","Municipio","Municipality","",""
112,66,"DOM","Dominican Republic",25,"San Cristóbal",112,"Cambita Garabito","DO.CR.CG",NA,"","Municipio","Municipality","",""
113,66,"DOM","Dominican Republic",25,"San Cristóbal",113,"Los Cacaos","DO.CR.LC",NA,"","Distrito municipal","Municipal district","",""
114,66,"DOM","Dominican Republic",25,"San Cristóbal",114,"Nigua","DO.CR.NI",NA,"","Distrito municipal","Municipal district","",""
115,66,"DOM","Dominican Republic",25,"San Cristóbal",115,"Sabana Grande de Palenque","DO.CR.SP",NA,"","Distrito municipal","Municipal district","",""
116,66,"DOM","Dominican Republic",25,"San Cristóbal",116,"San Cristóbal","DO.CR.SC",NA,"","Municipio","Municipality","",""
117,66,"DOM","Dominican Republic",25,"San Cristóbal",117,"San Gregorio de Yaguate","DO.CR.SG",NA,"","Municipio","Municipality","",""
118,66,"DOM","Dominican Republic",25,"San Cristóbal",118,"Villa Altagracia","DO.CR.VA",NA,"","Municipio","Municipality","",""
119,66,"DOM","Dominican Republic",26,"San José de Ocoa",119,"Rancho Arriba","DO.JO.RA",NA,"","","Municipal district","",""
120,66,"DOM","Dominican Republic",26,"San José de Ocoa",120,"Sabana Larga","DO.JO.SL",NA,"","Distrito municipal","Municipal district","",""
121,66,"DOM","Dominican Republic",26,"San José de Ocoa",121,"San José de Ocoa","DO.JO.SJ",NA,"","Municipio","Municipality","",""
122,66,"DOM","Dominican Republic",27,"San Juan",122,"Bohechio
","DO.JU.BO",NA,"","Municipio","Municipality","",""
123,66,"DOM","Dominican Republic",27,"San Juan",123,"El Cercado","DO.JU.EC",NA,"","Municipio","Municipality","",""
124,66,"DOM","Dominican Republic",27,"San Juan",124,"Juan de Herrera","DO.JU.JH",NA,"","Municipio","Municipality","",""
125,66,"DOM","Dominican Republic",27,"San Juan",125,"Las Matas de Farfan","DO.JU.LM",NA,"","Municipio","Municipality","",""
126,66,"DOM","Dominican Republic",27,"San Juan",126,"San Juan de la Maguana
","DO.JU.SJ",NA,"","Municipio","Municipality","",""
127,66,"DOM","Dominican Republic",27,"San Juan",127,"Vallejuelo","DO.JU.VA",NA,"","Municipio","Municipality","",""
128,66,"DOM","Dominican Republic",28,"San Pedro de Macorís",128,"Consuelo","DO.PM.CO",NA,"","Distrito municipal","Municipal district","",""
