"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,80,"GUF","French Guiana",1,"Cayenne",1,"Camopi","GF.CY.CM",NA,"","Commune","Commune","",""
2,80,"GUF","French Guiana",1,"Cayenne",2,"Iracoubo","GF.CY.IR",NA,"","Commune","Commune","",""
3,80,"GUF","French Guiana",1,"Cayenne",3,"Kourou","GF.CY.KR",NA,"","Commune","Commune","",""
4,80,"GUF","French Guiana",1,"Cayenne",4,"Macouria (-Tonate)","GF.CY.MC",NA,"","Commune","Commune","","Macouria"
5,80,"GUF","French Guiana",1,"Cayenne",5,"Matoury","GF.CY.MY",NA,"","Commune","Commune","",""
6,80,"GUF","French Guiana",1,"Cayenne",6,"Montsinéry-Tonnégrande","GF.CY.MT",NA,"","Commune","Commune","","Montsinery|Tonnégrande"
7,80,"GUF","French Guiana",1,"Cayenne",7,"Ouanary","GF.CY.OU",NA,"","Commune","Commune","",""
8,80,"GUF","French Guiana",1,"Cayenne",8,"Régina (-Kaw)","GF.CY.RK",NA,"","Commune","Commune","","Régina|Kaw"
9,80,"GUF","French Guiana",1,"Cayenne",9,"Rémire-Montjoly","GF.CY.RM",NA,"","Commune","Commune","","Rémire-Montjoly|Montjoly"
10,80,"GUF","French Guiana",1,"Cayenne",10,"Roura","GF.CY.RO",NA,"","Commune","Commune","",""
11,80,"GUF","French Guiana",1,"Cayenne",11,"Saint-Elie","GF.CY.SE",NA,"","Commune","Commune","",""
12,80,"GUF","French Guiana",1,"Cayenne",12,"Saint-Georges (de l'Oyapock)","GF.CY.SG",NA,"","Commune","Commune","","Saint-Georges de l'Oyapock"
13,80,"GUF","French Guiana",1,"Cayenne",13,"Sinnamary","GF.CY.SI",NA,"","Commune","Commune","",""
14,80,"GUF","French Guiana",2,"Saint-Laurent-du-Maroni",14,"Apatou","GF.SL.AP",NA,"","Commune","Commune","",""
15,80,"GUF","French Guiana",2,"Saint-Laurent-du-Maroni",15,"Awala-Yalimapo","GF.SL.AY",NA,"","Commune","Commune","",""
16,80,"GUF","French Guiana",2,"Saint-Laurent-du-Maroni",16,"Grand-Santi","GF.SL.GS",NA,"","Commune","Commune","",""
17,80,"GUF","French Guiana",2,"Saint-Laurent-du-Maroni",17,"Mana","GF.SL.MN",NA,"","Commune","Commune","",""
18,80,"GUF","French Guiana",2,"Saint-Laurent-du-Maroni",18,"Maripasoula","GF.SL.MP",NA,"","Commune","Commune","",""
19,80,"GUF","French Guiana",2,"Saint-Laurent-du-Maroni",19,"Papaïchton","GF.SL.PA",NA,"","Commune","Commune","","Pompidou"
20,80,"GUF","French Guiana",2,"Saint-Laurent-du-Maroni",20,"Saül","GF.SL.SA",NA,"","Commune","Commune","",""
21,80,"GUF","French Guiana",2,"Saint-Laurent-du-Maroni",21,"Saint-Laurent (du Maroni)","GF.SL.SL",NA,"","Commune","Commune","","Saint-Laurent du Maroni"
