"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,98,"GUY","Guyana",1,"Barima-Waini","GY.BA",NA,"1","Region","Region","",""
2,98,"GUY","Guyana",2,"Cuyuni-Mazaruni","GY.CU",NA,"7","Region","Region","",""
3,98,"GUY","Guyana",3,"Demerara-Mahaica","GY.DE",NA,"4","Region","Region","",""
4,98,"GUY","Guyana",4,"East Berbice-Corentyne","GY.EB",NA,"6","Region","Region","",""
5,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara","GY.ES",NA,"3","Region","Region","",""
6,98,"GUY","Guyana",6,"Mahaica-Berbice","GY.MA",NA,"5","Region","Region","",""
7,98,"GUY","Guyana",7,"Pomeroon-Supenaam","GY.PM",NA,"2","Region","Region","",""
8,98,"GUY","Guyana",8,"Potaro-Siparuni","GY.PT",NA,"8","Region","Region","",""
9,98,"GUY","Guyana",9,"Upper Demerara-Berbice","GY.UD",NA,"10","Region","Region","",""
10,98,"GUY","Guyana",10,"Upper Takutu-Upper Essequibo","GY.UT",NA,"9","Region","Region","",""
