"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,98,"GUY","Guyana",1,"Barima-Waini",1,"Barima / Amakura","GY.BA.BA",NA,"103","Not Classified","Not Classified","",""
2,98,"GUY","Guyana",1,"Barima-Waini",2,"Mabaruma / Kumaka / Hosororo","GY.BA.MK",NA,"101","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
3,98,"GUY","Guyana",1,"Barima-Waini",3,"Matthews Ridge / Arakaka (Matakai) / Port Kaituma","GY.BA.MR",NA,"102","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
4,98,"GUY","Guyana",1,"Barima-Waini",4,"Rest of Region 1","GY.BA.UN",NA,"105","Not Classified","Not Classified","",""
5,98,"GUY","Guyana",1,"Barima-Waini",5,"Waini","GY.BA.WA",NA,"104","Not Classified","Not Classified","",""
6,98,"GUY","Guyana",2,"Cuyuni-Mazaruni",6,"Agatash","GY.CU.AG",NA,"702","Not Classified","Not Classified","",""
7,98,"GUY","Guyana",2,"Cuyuni-Mazaruni",7,"Arau","GY.CU.AR",NA,"708","Not Classified","Not Classified","",""
8,98,"GUY","Guyana",2,"Cuyuni-Mazaruni",8,"Bartica","GY.CU.BA",NA,"701","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
9,98,"GUY","Guyana",2,"Cuyuni-Mazaruni",9,"Jawalla, Kubenang River","GY.CU.JK",NA,"704","Not Classified","Not Classified","",""
10,98,"GUY","Guyana",2,"Cuyuni-Mazaruni",10,"Kamarang","GY.CU.KA",NA,"705","Not Classified","Not Classified","",""
11,98,"GUY","Guyana",2,"Cuyuni-Mazaruni",11,"Karambaru to Kukui River + Phillipi","GY.CU.KK",NA,"703","Not Classified","Not Classified","",""
12,98,"GUY","Guyana",2,"Cuyuni-Mazaruni",12,"Paruima","GY.CU.PA",NA,"707","Not Classified","Not Classified","",""
13,98,"GUY","Guyana",2,"Cuyuni-Mazaruni",13,"Rest of Region 7","GY.CU.UN",NA,"709","Not Classified","Not Classified","",""
14,98,"GUY","Guyana",2,"Cuyuni-Mazaruni",14,"Waramadan","GY.CU.WA",NA,"706","Not Classified","Not Classified","",""
15,98,"GUY","Guyana",3,"Demerara-Mahaica",15,"Cane Grove Land Development Scheme","GY.DE.CG",NA,"401","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
16,98,"GUY","Guyana",3,"Demerara-Mahaica",16,"City of Georgetown","GY.DE.GM",NA,"416","Municipality","Municipality","",""
17,98,"GUY","Guyana",3,"Demerara-Mahaica",17,"Demerara Conservancy","",NA,"0","Conservancy","Conservancy","",""
18,98,"GUY","Guyana",3,"Demerara-Mahaica",18,"Diamond / Golden Grove","GY.DE.DG",NA,"413","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
19,98,"GUY","Guyana",3,"Demerara-Mahaica",19,"Eccles / Ramsburg","GY.DE.ER",NA,"410","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
20,98,"GUY","Guyana",3,"Demerara-Mahaica",20,"Enmore / Hope","GY.DE.EH",NA,"404","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
21,98,"GUY","Guyana",3,"Demerara-Mahaica",21,"Foulis / Buxton","GY.DE.FB",NA,"405","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
22,98,"GUY","Guyana",3,"Demerara-Mahaica",22,"Good Success / Caledonia","GY.DE.GS",NA,"414","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
23,98,"GUY","Guyana",3,"Demerara-Mahaica",23,"Grove / Haslington","GY.DE.GH",NA,"403","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
24,98,"GUY","Guyana",3,"Demerara-Mahaica",24,"Herstelling / Little Diamond","GY.DE.HL",NA,"412","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
25,98,"GUY","Guyana",3,"Demerara-Mahaica",25,"La Bonne Intention / Better Hope","GY.DE.LB",NA,"408","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
26,98,"GUY","Guyana",3,"Demerara-Mahaica",26,"La Reconnaissance / Mon Repos","GY.DE.LR",NA,"406","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
27,98,"GUY","Guyana",3,"Demerara-Mahaica",27,"Mocha / Arcadia","GY.DE.MA",NA,"411","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
28,98,"GUY","Guyana",3,"Demerara-Mahaica",28,"Plaisance / Industry","GY.DE.PI",NA,"409","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
29,98,"GUY","Guyana",3,"Demerara-Mahaica",29,"Soesdyke-Linden highway (including Timehri)","GY.DE.SL",NA,"418","Not Classified","Not Classified","",""
30,98,"GUY","Guyana",3,"Demerara-Mahaica",30,"St. Cuthberts / Orange Nassau (Mahaica River)","GY.DE.SC",NA,"419","Not Classified","Not Classified","",""
31,98,"GUY","Guyana",3,"Demerara-Mahaica",31,"Te Huist Coverden / Soesdyke","GY.DE.TH",NA,"415","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
32,98,"GUY","Guyana",3,"Demerara-Mahaica",32,"Triumph / Beterverwagting","GY.DE.TB",NA,"407","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
33,98,"GUY","Guyana",3,"Demerara-Mahaica",33,"Vereeniging / Unity","GY.DE.VU",NA,"402","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
34,98,"GUY","Guyana",4,"East Berbice-Corentyne",34,"Black Bush Polder land Development Scheme","GY.EB.BP",NA,"615","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
35,98,"GUY","Guyana",4,"East Berbice-Corentyne",35,"Borlam ( No.37 ) / Kintyre","GY.EB.BN",NA,"612","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
36,98,"GUY","Guyana",4,"East Berbice-Corentyne",36,"Bush Lot / Adventure","GY.EB.BL",NA,"606","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
37,98,"GUY","Guyana",4,"East Berbice-Corentyne",37,"Cane Field / Enterprise","GY.EB.CF",NA,"614","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
38,98,"GUY","Guyana",4,"East Berbice-Corentyne",38,"Corentyne River","GY.EB.CT",NA,"620","Not Classified","Not Classified","",""
39,98,"GUY","Guyana",4,"East Berbice-Corentyne",39,"Corriverton","GY.EB.CM",NA,"617","Municipality","Municipality","",""
40,98,"GUY","Guyana",4,"East Berbice-Corentyne",40,"East Bank Berbice","GY.EB.EB",NA,"622","Not Classified","Not Classified","",""
41,98,"GUY","Guyana",4,"East Berbice-Corentyne",41,"Enfield / New Doe Park","GY.EB.EN",NA,"616","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
42,98,"GUY","Guyana",4,"East Berbice-Corentyne",42,"Fyrish / Gibraltar","GY.EB.FG",NA,"611","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
43,98,"GUY","Guyana",4,"East Berbice-Corentyne",43,"Hampshire / Kilcoy","GY.MA.GN",NA,"610","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
44,98,"GUY","Guyana",4,"East Berbice-Corentyne",44,"Hogstye / Lancaster","GY.EB.HL",NA,"607","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
45,98,"GUY","Guyana",4,"East Berbice-Corentyne",45,"Jackson Creek / Crabwood Creek","GY.EB.JC",NA,"601","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
46,98,"GUY","Guyana",4,"East Berbice-Corentyne",46,"John / Port Mourant","GY.EB.JP",NA,"609","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
47,98,"GUY","Guyana",4,"East Berbice-Corentyne",47,"Joppa / Macedonia","GY.EB.JM",NA,"604","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
48,98,"GUY","Guyana",4,"East Berbice-Corentyne",48,"New Amsterdam","GY.EB.NA",NA,"619","Municipality","Municipality","",""
49,98,"GUY","Guyana",4,"East Berbice-Corentyne",49,"No. 38 / Ordnance Fortlands","GY.EB.NO",NA,"613","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
50,98,"GUY","Guyana",4,"East Berbice-Corentyne",50,"No.51 Village / Good Hope","GY.EB.NG",NA,"603","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
51,98,"GUY","Guyana",4,"East Berbice-Corentyne",51,"No.74 Village / No.52 Village","GY.EB.NV",NA,"602","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
52,98,"GUY","Guyana",4,"East Berbice-Corentyne",52,"Rose Hall","GY.EB.RH",NA,"618","Municipality","Municipality","",""
53,98,"GUY","Guyana",4,"East Berbice-Corentyne",53,"Tarlogie / Maida","GY.EB.TM",NA,"605","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
54,98,"GUY","Guyana",4,"East Berbice-Corentyne",54,"Whim / Bloomfield","GY.EB.WB",NA,"608","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
55,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",55,"Amsterdam (Demerara River) / Vriesland","GY.ES.AD",NA,"315","Not Classified","Not Classified","",""
56,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",56,"Blankenburg / Hague","GY.ES.BH",NA,"307","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
57,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",57,"Bonasika / Boerasirie","",NA,"0","Not Classified","Not Classified","",""
58,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",58,"Canal No. 2 (part) + The Belle + Little Alliance","GY.ES.CN",NA,"316","Not Classified","Not Classified","",""
59,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",59,"Canals Polder","GY.ES.CP",NA,"302","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
60,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",60,"Cornelia Ida / Stewartville","GY.ES.CI",NA,"308","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
61,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",61,"Good Hope / Hydronie","GY.ES.GH",NA,"311","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
62,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",62,"Klein Pouderoyen / Best","GY.ES.KP",NA,"305","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
63,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",63,"Leguan (Essequibo Islands )","GY.ES.LE",NA,"313","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
64,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",64,"Lower West Demerara","",NA,"0","Not Classified","Not Classified","",""
65,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",65,"Meer Zorgen / Malgre Tout","GY.ES.MZ",NA,"304","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
66,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",66,"Nismes / La Grange","GY.ES.NL",NA,"303","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
67,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",67,"Nouvelle Flanders / La Jalousie","GY.ES.NF",NA,"306","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
68,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",68,"Parika / Mora","GY.ES.PM",NA,"312","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
69,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",69,"Patentia / Toevlugt","GY.ES.PT",NA,"301","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
70,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",70,"Sparta / Bonasika and Rest of Essequibo Islands","GY.ES.SB",NA,"317","Not Classified","Not Classified","",""
71,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",71,"Uitvlugt / Tuschen","GY.ES.UT",NA,"309","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
72,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",72,"Vergenoegen / Greenwich Park","GY.ES.VG",NA,"310","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
73,98,"GUY","Guyana",5,"Essequibo Islands-West Demerara",73,"Wakenaam (Essequibo Islands)","GY.ES.WE",NA,"314","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
74,98,"GUY","Guyana",6,"Mahaica-Berbice",74,"Abary / Mahaicony","GY.MA.AM",NA,"508","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
75,98,"GUY","Guyana",6,"Mahaica-Berbice",75,"Bel Air / Woodlands","GY.MA.BA",NA,"503","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
76,98,"GUY","Guyana",6,"Mahaica-Berbice",76,"Chance / Hamlet","GY.MA.CH",NA,"509","Neighbourhood Democratic Council","Neighbourhood Democratic","",""
