"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,101,"HND","Honduras",1,"Atlántida","HN.AT",NA,"","Departamento","Department","",""
2,101,"HND","Honduras",2,"Choluteca","HN.CH",NA,"","Departamento","Department","",""
3,101,"HND","Honduras",3,"Colón","HN.CL",NA,"","Departamento","Department","",""
4,101,"HND","Honduras",4,"Comayagua","HN.CM",NA,"","Departamento","Department","",""
5,101,"HND","Honduras",5,"Copán","HN.CP",NA,"","Departamento","Department","",""
6,101,"HND","Honduras",6,"Cortés","HN.CR",NA,"","Departamento","Department","","Cortez"
7,101,"HND","Honduras",7,"El Paraíso","HN.EP",NA,"","Departamento","Department","","Paraiso"
8,101,"HND","Honduras",8,"Francisco Morazán","HN.FM",NA,"","Departamento","Department","","Tegucigalpa"
9,101,"HND","Honduras",9,"Gracias a Dios","HN.GD",NA,"","Departamento","Department","",""
10,101,"HND","Honduras",10,"Intibucá","HN.IN",NA,"","Departamento","Department","",""
11,101,"HND","Honduras",11,"Islas de la Bahía","HN.IB",NA,"","Departamento","Department","","Islas de Bahia"
12,101,"HND","Honduras",12,"La Paz","HN.LP",NA,"","Departamento","Department","",""
13,101,"HND","Honduras",13,"Lempira","HN.LE",NA,"","Departamento","Department","","Gracias"
14,101,"HND","Honduras",14,"Ocotepeque","HN.OC",NA,"","Departamento","Department","",""
15,101,"HND","Honduras",15,"Olancho","HN.OL",NA,"","Departamento","Department","",""
16,101,"HND","Honduras",16,"Santa Bárbara","HN.CP",NA,"","Departamento","Department","",""
17,101,"HND","Honduras",17,"Valle","HN.VA",NA,"","Departamento","Department","",""
18,101,"HND","Honduras",18,"Yoro","HN.YO",NA,"","Departamento","Department","",""
