"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,99,"HTI","Haiti",1,"Centre","HT.CE",NA,"","Département","Department","","Plateau Central"
2,99,"HTI","Haiti",2,"Grand'Anse","HT.GR",NA,"","Département","Department","","Grande-Asne|Grande Anse"
3,99,"HTI","Haiti",3,"L'Artibonite","HT.AR",NA,"","Département","Department","","Artibonite"
4,99,"HTI","Haiti",4,"Nippes","HT.NI",NA,"","Département","Department","","Miragoâne"
5,99,"HTI","Haiti",5,"Nord-Est","HT.NE",NA,"","Département","Department","",""
6,99,"HTI","Haiti",6,"Nord-Ouest","HT.NO",NA,"","Département","Department","",""
7,99,"HTI","Haiti",7,"Nord","HT.ND",NA,"","Département","Department","",""
8,99,"HTI","Haiti",8,"Ouest","HT.OU",NA,"","Département","Department","",""
9,99,"HTI","Haiti",9,"Sud-Est","HT.SE",NA,"","Département","Department","",""
10,99,"HTI","Haiti",10,"Sud","HT.SD",NA,"","Département","Department","",""
