"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source","HT.CE.CS",NA,"","Arrondissement","District","",""
2,99,"HTI","Haiti",1,"Centre",2,"Hinche","HT.CE.HI",NA,"","Arrondissement","District","",""
3,99,"HTI","Haiti",1,"Centre",3,"Lascahobas","HT.CE.LC",NA,"","Arrondissement","District","",""
4,99,"HTI","Haiti",1,"Centre",4,"Mirebalais","HT.CE.MB",NA,"","Arrondissement","District","",""
5,99,"HTI","Haiti",2,"Grand'Anse",5,"Anse d'Hainault","HT.GR.AH",NA,"","Arrondissement","District","",""
6,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail","HT.GR.CL",NA,"","Arrondissement","District","",""
7,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie","HT.GR.JR",NA,"","Arrondissement","District","",""
8,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines","HT.AR.DS",NA,"","Arrondissement","District","",""
9,99,"HTI","Haiti",3,"L'Artibonite",9,"Gros-Morne","HT.AR.GM",NA,"","Arrondissement","District","",""
10,99,"HTI","Haiti",3,"L'Artibonite",10,"les Gonaïves","HT.AR.GV",NA,"","Arrondissement","District","",""
11,99,"HTI","Haiti",3,"L'Artibonite",11,"Marmelade","HT.AR.MM",NA,"","Arrondissement","District","",""
12,99,"HTI","Haiti",3,"L'Artibonite",12,"Saint-Marc","HT.AR.SM",NA,"","Arrondissement","District","",""
13,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau","HT.NI.AV",NA,"","Arrondissement","District","",""
14,99,"HTI","Haiti",4,"Nippes",14,"Miragoâne","HT.NI.MG",NA,"","Arrondissement","District","",""
15,99,"HTI","Haiti",5,"Nord-Est",15,"Fort-Liberté","HT.NE.FL",NA,"","Arrondissement","District","",""
16,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord","HT.NE.TN",NA,"","Arrondissement","District","",""
17,99,"HTI","Haiti",5,"Nord-Est",17,"Ouanaminthe","HT.NE.OU",NA,"","Arrondissement","District","",""
18,99,"HTI","Haiti",5,"Nord-Est",18,"Vallières","HT.NE.VR",NA,"","Arrondissement","District","",""
19,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas","HT.NO.MS",NA,"","Arrondissement","District","",""
20,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix","HT.NO.PD",NA,"","Arrondissement","District","",""
21,99,"HTI","Haiti",6,"Nord-Ouest",21,"Saint-Louis du Nord","HT.NO.SL",NA,"","Arrondissement","District","",""
22,99,"HTI","Haiti",7,"Nord",22,"Borgne","HT.ND.BG",NA,"","Arrondissement","District","",""
23,99,"HTI","Haiti",7,"Nord",23,"Grande-Rivière du Nord","HT.ND.GR",NA,"","Arrondissement","District","",""
24,99,"HTI","Haiti",7,"Nord",24,"l'Acul-du-Nord","HT.ND.AN",NA,"","Arrondissement","District","",""
25,99,"HTI","Haiti",7,"Nord",25,"le Cap-Haïtien","HT.ND.CH",NA,"","Arrondissement","District","",""
26,99,"HTI","Haiti",7,"Nord",26,"le Limbé","HT.ND.LL",NA,"","Arrondissement","District","",""
27,99,"HTI","Haiti",7,"Nord",27,"Plaisance","HT.ND.PL",NA,"","Arrondissement","District","",""
28,99,"HTI","Haiti",7,"Nord",28,"Saint-Raphaël","HT.ND.SR",NA,"","Arrondissement","District","",""
29,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets","HT.OU.CB",NA,"","Arrondissement","District","",""
30,99,"HTI","Haiti",8,"Ouest",30,"l'Arcahaie","HT.OU.AR",NA,"","Arrondissement","District","",""
31,99,"HTI","Haiti",8,"Ouest",31,"La Gonâve","HT.OU.LG",NA,"","Arrondissement","District","",""
32,99,"HTI","Haiti",8,"Ouest",32,"Léogâne","HT.OU.LN",NA,"","Arrondissement","District","",""
33,99,"HTI","Haiti",8,"Ouest",33,"Port-au-Prince","HT.OU.PP",NA,"","Arrondissement","District","",""
34,99,"HTI","Haiti",9,"Sud-Est",34,"Bainet","HT.SE.BT",NA,"","Arrondissement","District","",""
35,99,"HTI","Haiti",9,"Sud-Est",35,"Belle-Anse","HT.SE.BA",NA,"","Arrondissement","District","",""
36,99,"HTI","Haiti",9,"Sud-Est",36,"Jacmel","HT.SE.JC",NA,"","Arrondissement","District","",""
37,99,"HTI","Haiti",10,"Sud",37,"Aquin","HT.SD.AQ",NA,"","Arrondissement","District","",""
38,99,"HTI","Haiti",10,"Sud",38,"les Côteaux","HT.SD.CX",NA,"","Arrondissement","District","",""
39,99,"HTI","Haiti",10,"Sud",39,"les Cayes","HT.SD.CY",NA,"","Arrondissement","District","",""
40,99,"HTI","Haiti",10,"Sud",40,"les Chardonnières","HT.SD.CR",NA,"","Arrondissement","District","",""
41,99,"HTI","Haiti",10,"Sud",41,"Port-Salut","HT.SD.PS",NA,"","Arrondissement","District","",""
