"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
1,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source",1,"Cerca La Source",1,"Acajou Bruler 1","",NA,"","Sub-commune","Sub-commune"
2,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source",1,"Cerca La Source",2,"Acajou Bruler 2","",NA,"","Sub-commune","Sub-commune"
3,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source",1,"Cerca La Source",3,"La Mielle","",NA,"","Sub-commune","Sub-commune"
4,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source",2,"Thomasique",4,"Lociane","",NA,"","Sub-commune","Sub-commune"
5,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source",2,"Thomasique",5,"Matelgate","",NA,"","Sub-commune","Sub-commune"
6,99,"HTI","Haiti",1,"Centre",2,"Hinche",3,"Cerca Carvajal",6,"Rang","",NA,"","Sub-commune","Sub-commune"
7,99,"HTI","Haiti",1,"Centre",2,"Hinche",4,"Hinche",7,"Aguahedionde (Rive Droit)","",NA,"","Sub-commune","Sub-commune"
8,99,"HTI","Haiti",1,"Centre",2,"Hinche",4,"Hinche",8,"Aguahedionde (Rive Gauche)","",NA,"","Sub-commune","Sub-commune"
9,99,"HTI","Haiti",1,"Centre",2,"Hinche",4,"Hinche",9,"Juanaria","",NA,"","Sub-commune","Sub-commune"
10,99,"HTI","Haiti",1,"Centre",2,"Hinche",4,"Hinche",10,"Marmont","",NA,"","Sub-commune","Sub-commune"
11,99,"HTI","Haiti",1,"Centre",2,"Hinche",5,"Maïssade",11,"Hatty","",NA,"","Sub-commune","Sub-commune"
12,99,"HTI","Haiti",1,"Centre",2,"Hinche",5,"Maïssade",12,"Narang","",NA,"","Sub-commune","Sub-commune"
13,99,"HTI","Haiti",1,"Centre",2,"Hinche",5,"Maïssade",13,"Savane Grande","",NA,"","Sub-commune","Sub-commune"
14,99,"HTI","Haiti",1,"Centre",2,"Hinche",6,"Thomonde",14,"Baille Tourrible","",NA,"","Sub-commune","Sub-commune"
15,99,"HTI","Haiti",1,"Centre",2,"Hinche",6,"Thomonde",15,"Cabral","",NA,"","Sub-commune","Sub-commune"
16,99,"HTI","Haiti",1,"Centre",2,"Hinche",6,"Thomonde",16,"Tierra Muscady","",NA,"","Sub-commune","Sub-commune"
17,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",7,"Belladère",17,"Renth Mathe","",NA,"","Sub-commune","Sub-commune"
18,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",7,"Belladère",18,"Riaribes","",NA,"","Sub-commune","Sub-commune"
19,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",7,"Belladère",19,"Roye sec","",NA,"","Sub-commune","Sub-commune"
20,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",8,"Lascahobas",20,"Juampas","",NA,"","Sub-commune","Sub-commune"
21,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",8,"Lascahobas",21,"La Hoye","",NA,"","Sub-commune","Sub-commune"
22,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",8,"Lascahobas",22,"Petit Fond","",NA,"","Sub-commune","Sub-commune"
23,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",9,"Savanette",23,"La Haye","",NA,"","Sub-commune","Sub-commune"
24,99,"HTI","Haiti",1,"Centre",3,"Lascahobas",9,"Savanette",24,"Savanette","Colombier",NA,"","Sub-commune","Sub-commune"
25,99,"HTI","Haiti",1,"Centre",4,"Mirebalais",10,"Boucan-Carré",25,"Boucan Carré","",NA,"","Sub-commune","Sub-commune"
26,99,"HTI","Haiti",1,"Centre",4,"Mirebalais",10,"Boucan-Carré",26,"Des Bayes","",NA,"","Sub-commune","Sub-commune"
