"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,141,"MTQ","Martinique",1,"Fort-de-France",1,"Fort-de-France","MQ.FF.FF",NA,"","Commune","Commune","",""
2,141,"MTQ","Martinique",1,"Fort-de-France",2,"Le Lamentin","MQ.FF.LA",NA,"","Commune","Commune","",""
3,141,"MTQ","Martinique",1,"Fort-de-France",3,"Saint-Joseph","MQ.FF.SJ",NA,"","Commune","Commune","",""
4,141,"MTQ","Martinique",1,"Fort-de-France",4,"Schœlcher","MQ.FF.SC",NA,"","Commune","Commune","",""
5,141,"MTQ","Martinique",2,"Le Marin",5,"Ducos","MQ.MA.DU",NA,"","Commune","Commune","",""
6,141,"MTQ","Martinique",2,"Le Marin",6,"Le Diamant","MQ.MA.DI",NA,"","Commune","Commune","",""
7,141,"MTQ","Martinique",2,"Le Marin",7,"Le François","MQ.MA.FR",NA,"","Commune","Commune","",""
8,141,"MTQ","Martinique",2,"Le Marin",8,"Le Marin","MQ.MA.MN",NA,"","Commune","Commune","",""
9,141,"MTQ","Martinique",2,"Le Marin",9,"Le Vauclin","MQ.MA.VA",NA,"","Commune","Commune","",""
10,141,"MTQ","Martinique",2,"Le Marin",10,"Les Anses-d'Arlets","MQ.MA.AA",NA,"","Commune","Commune","",""
11,141,"MTQ","Martinique",2,"Le Marin",11,"Les Trois-Îlets","MQ.MA.TI",NA,"","Commune","Commune","",""
12,141,"MTQ","Martinique",2,"Le Marin",12,"Rivière-Pilote","MQ.MA.RP",NA,"","Commune","Commune","",""
13,141,"MTQ","Martinique",2,"Le Marin",13,"Rivière-Salée","MQ.MA.RS",NA,"","Commune","Commune","",""
14,141,"MTQ","Martinique",2,"Le Marin",14,"Saint-Esprit","MQ.MA.SE",NA,"","Commune","Commune","",""
15,141,"MTQ","Martinique",2,"Le Marin",15,"Sainte-Anne","MQ.MA.SA",NA,"","Commune","Commune","",""
16,141,"MTQ","Martinique",3,"Le Trinité",16,"Basse-Pointe","MQ.TR.BP",NA,"","Commune","Commune","",""
17,141,"MTQ","Martinique",3,"Le Trinité",17,"Gros-Morne","MQ.TR.GM",NA,"","Commune","Commune","",""
18,141,"MTQ","Martinique",3,"Le Trinité",18,"L'Ajoupa-Bouillon","MQ.TR.AB",NA,"","Commune","Commune","",""
19,141,"MTQ","Martinique",3,"Le Trinité",19,"La Trinité","MQ.TR.TR",NA,"","Commune","Commune","",""
20,141,"MTQ","Martinique",3,"Le Trinité",20,"Le Lorrain","MQ.TR.LO",NA,"","Commune","Commune","",""
21,141,"MTQ","Martinique",3,"Le Trinité",21,"Le Marigot","MQ.TR.MG",NA,"","Commune","Commune","",""
22,141,"MTQ","Martinique",3,"Le Trinité",22,"Le Robert","MQ.TR.RO",NA,"","Commune","Commune","",""
23,141,"MTQ","Martinique",3,"Le Trinité",23,"Macouba","MQ.TR.MC",NA,"","Commune","Commune","",""
24,141,"MTQ","Martinique",3,"Le Trinité",24,"Sainte-Marie","MQ.TR.SM",NA,"","Commune","Commune","",""
25,141,"MTQ","Martinique",4,"Saint-Pierre",25,"Bellefontaine","MQ.SP.BF",NA,"","Commune","Commune","",""
26,141,"MTQ","Martinique",4,"Saint-Pierre",26,"Case-Pilote","MQ.SP.CP",NA,"","Commune","Commune","",""
27,141,"MTQ","Martinique",4,"Saint-Pierre",27,"Fonds-Saint-Denis","MQ.SP.FS",NA,"","Commune","Commune","",""
28,141,"MTQ","Martinique",4,"Saint-Pierre",28,"Le Carbet","MQ.SP.CA",NA,"","Commune","Commune","",""
29,141,"MTQ","Martinique",4,"Saint-Pierre",29,"Le Morne-Rouge","MQ.SP.MR",NA,"","Commune","Commune","",""
30,141,"MTQ","Martinique",4,"Saint-Pierre",30,"Le Morne-Vert","MQ.SP.MV",NA,"","Commune","Commune","",""
31,141,"MTQ","Martinique",4,"Saint-Pierre",31,"Le Prêcheur","MQ.SP.PR",NA,"","Commune","Commune","",""
32,141,"MTQ","Martinique",4,"Saint-Pierre",32,"Saint-Pierre","MQ.SP.SP",NA,"","Commune","Commune","",""
