"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,161,"NIC","Nicaragua",1,"Atlántico Norte","NI.AN",NA,"","Región Autónoma","Autonomous Region","","Región Autónoma del Atlántico Norte"
2,161,"NIC","Nicaragua",2,"Atlántico Sur","NI.AS",NA,"","Región Autónoma","Autonomous Region","","Región Autónoma del Atlántico Norte"
3,161,"NIC","Nicaragua",3,"Boaco","NI.BO",NA,"","Departamento","Department","",""
4,161,"NIC","Nicaragua",4,"Carazo","NI.CA",NA,"","Departamento","Department","",""
5,161,"NIC","Nicaragua",5,"Chinandega","NI.CI",NA,"","Departamento","Department","",""
6,161,"NIC","Nicaragua",6,"Chontales","NI.CO",NA,"","Departamento","Department","",""
7,161,"NIC","Nicaragua",7,"Estelí","NI.ES",NA,"","Departamento","Department","","Estel¡"
8,161,"NIC","Nicaragua",8,"Granada","NI.GR",NA,"","Departamento","Department","",""
9,161,"NIC","Nicaragua",9,"Jinotega","NI.JI",NA,"","Departamento","Department","",""
10,161,"NIC","Nicaragua",10,"Lago Nicaragua","lake",NA,"","Water body","Water body","",""
11,161,"NIC","Nicaragua",11,"León","NI.LE",NA,"","Departamento","Department","",""
12,161,"NIC","Nicaragua",12,"Madriz","NI.MD",NA,"","Departamento","Department","",""
13,161,"NIC","Nicaragua",13,"Managua","NI.MN",NA,"","Departamento","Department","",""
14,161,"NIC","Nicaragua",14,"Masaya","NI.MS",NA,"","Departamento","Department","",""
15,161,"NIC","Nicaragua",15,"Matagalpa","NI.MT",NA,"","Departamento","Department","",""
16,161,"NIC","Nicaragua",16,"Nueva Segovia","NI.NS",NA,"","Departamento","Department","",""
17,161,"NIC","Nicaragua",17,"Río San Juan","NI.SJ",NA,"","Departamento","Department","",""
18,161,"NIC","Nicaragua",18,"Rivas","NI.RI",NA,"","Departamento","Department","",""
