"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,161,"NIC","Nicaragua",1,"Atlántico Norte",1,"Bonanza","NI.AN.BO",NA,"","Municipio","Municipality","",""
2,161,"NIC","Nicaragua",1,"Atlántico Norte",2,"Prinzapolka","NI.AN.PR",NA,"","Municipio","Municipality","",""
3,161,"NIC","Nicaragua",1,"Atlántico Norte",3,"Puerto Cabezas","NI.AN.PC",NA,"","Municipio","Municipality","",""
4,161,"NIC","Nicaragua",1,"Atlántico Norte",4,"Rosita","NI.AN.RO",NA,"","Municipio","Municipality","",""
5,161,"NIC","Nicaragua",1,"Atlántico Norte",5,"Siuna","NI.AN.SI",NA,"","Municipio","Municipality","",""
6,161,"NIC","Nicaragua",1,"Atlántico Norte",6,"Waslala","NI.AN.WL",NA,"","Municipio","Municipality","",""
7,161,"NIC","Nicaragua",1,"Atlántico Norte",7,"Waspán","NI.AN.WP",NA,"","Municipio","Municipality","","Waspam"
8,161,"NIC","Nicaragua",2,"Atlántico Sur",8,"Bluefields","NI.AS.BL",NA,"","Municipio","Municipality","",""
9,161,"NIC","Nicaragua",2,"Atlántico Sur",9,"Bocana de Paiwas","NI.AS.BP",NA,"","Municipio","Municipality","","Bocanas de Paiwa"
10,161,"NIC","Nicaragua",2,"Atlántico Sur",10,"El Rama","NI.AS.ER",NA,"","Municipio","Municipality","",""
11,161,"NIC","Nicaragua",2,"Atlántico Sur",11,"Kukra Hill","NI.AS.KH",NA,"","Municipio","Municipality","",""
12,161,"NIC","Nicaragua",2,"Atlántico Sur",12,"La Cruz de Río Grande","NI.AS.LC",NA,"","Municipio","Municipality","",""
13,161,"NIC","Nicaragua",2,"Atlántico Sur",13,"Laguna de Perlas","NI.AS.LP",NA,"","Municipio","Municipality","",""
14,161,"NIC","Nicaragua",2,"Atlántico Sur",14,"Muelle de los Bueyes","NI.AS.MB",NA,"","Municipio","Municipality","",""
15,161,"NIC","Nicaragua",2,"Atlántico Sur",15,"Nueva Guinea","NI.AS.NG",NA,"","Municipio","Municipality","",""
16,161,"NIC","Nicaragua",3,"Boaco",16,"Boaco","NI.BO.BO",NA,"","Municipio","Municipality","",""
17,161,"NIC","Nicaragua",3,"Boaco",17,"Camoapa","NI.BO.CA",NA,"","Municipio","Municipality","",""
18,161,"NIC","Nicaragua",3,"Boaco",18,"San José de los Remates","NI.BO.SJ",NA,"","Municipio","Municipality","",""
19,161,"NIC","Nicaragua",3,"Boaco",19,"San Lorenzo","NI.BO.SZ",NA,"","Municipio","Municipality","",""
20,161,"NIC","Nicaragua",3,"Boaco",20,"Santa Lucía","NI.BO.SL",NA,"","Municipio","Municipality","",""
21,161,"NIC","Nicaragua",3,"Boaco",21,"Teustepe","NI.BO.TE",NA,"","Municipio","Municipality","",""
22,161,"NIC","Nicaragua",4,"Carazo",22,"Diriamba","NI.CA.DI",NA,"","Municipio","Municipality","",""
23,161,"NIC","Nicaragua",4,"Carazo",23,"Dolores","NI.CA.DO",NA,"","Municipio","Municipality","",""
24,161,"NIC","Nicaragua",4,"Carazo",24,"El Rosario","NI.CA.ER",NA,"","Municipio","Municipality","",""
25,161,"NIC","Nicaragua",4,"Carazo",25,"Jinotepe","NI.CA.JI",NA,"","Municipio","Municipality","",""
26,161,"NIC","Nicaragua",4,"Carazo",26,"La Conquista","NI.CA.LC",NA,"","Municipio","Municipality","","La ConquiSanta"
27,161,"NIC","Nicaragua",4,"Carazo",27,"La Paz de Carazo","NI.CA.LP",NA,"","Municipio","Municipality","",""
28,161,"NIC","Nicaragua",4,"Carazo",28,"San Marcos","NI.CA.SM",NA,"","Municipio","Municipality","",""
29,161,"NIC","Nicaragua",5,"Chinandega",29,"Chichigalpa","NI.CI.CC",NA,"","Municipio","Municipality","",""
30,161,"NIC","Nicaragua",5,"Chinandega",30,"Chinandega","NI.CI.CN",NA,"","Municipio","Municipality","",""
31,161,"NIC","Nicaragua",5,"Chinandega",31,"Cinco Pinos","NI.CI.CP",NA,"","Municipio","Municipality","",""
32,161,"NIC","Nicaragua",5,"Chinandega",32,"Corinto","NI.CI.CO",NA,"","Municipio","Municipality","",""
33,161,"NIC","Nicaragua",5,"Chinandega",33,"El Realejo","NI.CI.ER",NA,"","Municipio","Municipality","",""
34,161,"NIC","Nicaragua",5,"Chinandega",34,"El Viejo","NI.CI.EV",NA,"","Municipio","Municipality","",""
35,161,"NIC","Nicaragua",5,"Chinandega",35,"Posoltega","NI.CI.PO",NA,"","Municipio","Municipality","",""
36,161,"NIC","Nicaragua",5,"Chinandega",36,"Puerto Morazán","NI.CI.PM",NA,"","Municipio","Municipality","",""
37,161,"NIC","Nicaragua",5,"Chinandega",37,"San Francisco del Norte","NI.CI.SF",NA,"","Municipio","Municipality","","San Fransico del Norte"
38,161,"NIC","Nicaragua",5,"Chinandega",38,"San Pedro del Norte","NI.CI.SP",NA,"","Municipio","Municipality","",""
39,161,"NIC","Nicaragua",5,"Chinandega",39,"Somotillo","NI.CI.SO",NA,"","Municipio","Municipality","",""
