"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,174,"PAN","Panama",1,"Bocas del Toro","PA.BC",NA,"","Provincia","Province","",""
2,174,"PAN","Panama",2,"Chiriquí","PA.CH",NA,"","Provincia","Province","",""
3,174,"PAN","Panama",3,"Coclé","PA.CC",NA,"","Provincia","Province","",""
4,174,"PAN","Panama",4,"Colón","PA.CL",NA,"","Provincia","Province","",""
5,174,"PAN","Panama",5,"Darién","PA.DR",NA,"","Provincia","Province","",""
6,174,"PAN","Panama",6,"Emberá","PA.EM",NA,"","Comarca Indígena","Indigenous Territory","","Emberá-Wounaan"
7,174,"PAN","Panama",7,"Herrera","PA.HE",NA,"","Provincia","Province","",""
8,174,"PAN","Panama",8,"Kuna Yala","PA.SB",NA,"","Comarca Indígena","Indigenous Territory","",""
9,174,"PAN","Panama",9,"Los Santos","PA.LS",NA,"","Provincia","Province","",""
10,174,"PAN","Panama",10,"Ngöbe Buglé","PA.NB",NA,"","Comarca Indígena","Indigenous Territory","",""
11,174,"PAN","Panama",11,"Panamá Oeste","PA.PO",NA,"","Provincia","Province","",""
12,174,"PAN","Panama",12,"Panamá","PA.PN",NA,"","Provincia","Province","","Panam "
13,174,"PAN","Panama",13,"Veraguas","PA.VR",NA,"","Provincia","Province","",""
