"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro","PA.BC.BT",NA,"","Distrito","District","",""
2,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola","PA.BC.CH",NA,"","Distrito","District","",""
3,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande","PA.BC.CG",NA,"","Distrito","District","",""
4,174,"PAN","Panama",2,"Chiriquí",4,"Alanje","PA.CH.AL",NA,"","Distrito","District","",""
5,174,"PAN","Panama",2,"Chiriquí",5,"Barú","PA.CH.BR",NA,"","Distrito","District","",""
6,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón","PA.CH.BN",NA,"","Distrito","District","",""
7,174,"PAN","Panama",2,"Chiriquí",7,"Boquete","PA.CH.BQ",NA,"","Distrito","District","",""
8,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba","PA.CH.BG",NA,"","Distrito","District","",""
9,174,"PAN","Panama",2,"Chiriquí",9,"David","PA.CH.DA",NA,"","Distrito","District","",""
10,174,"PAN","Panama",2,"Chiriquí",10,"Dolega","PA.CH.DL",NA,"","Distrito","District","",""
11,174,"PAN","Panama",2,"Chiriquí",11,"Gualaca","PA.CH.GL",NA,"","Distrito","District","",""
12,174,"PAN","Panama",2,"Chiriquí",12,"Remedios","PA.CH.RM",NA,"","Distrito","District","",""
13,174,"PAN","Panama",2,"Chiriquí",13,"Renacimiento","PA.CH.RN",NA,"","Distrito","District","",""
14,174,"PAN","Panama",2,"Chiriquí",14,"San Félix","PA.CH.SX",NA,"","Distrito","District","",""
15,174,"PAN","Panama",2,"Chiriquí",15,"San Lorenzo","PA.CH.SL",NA,"","Distrito","District","",""
16,174,"PAN","Panama",2,"Chiriquí",16,"Tolé","PA.CH.TL",NA,"","Distrito","District","",""
17,174,"PAN","Panama",3,"Coclé",17,"Aguadulce","PA.CC.AG",NA,"","Distrito","District","",""
18,174,"PAN","Panama",3,"Coclé",18,"Antón","PA.CC.AN",NA,"","Distrito","District","",""
19,174,"PAN","Panama",3,"Coclé",19,"La Pintada","PA.CC.LP",NA,"","Distrito","District","",""
20,174,"PAN","Panama",3,"Coclé",20,"Natá","PA.CC.NT",NA,"","Distrito","District","",""
21,174,"PAN","Panama",3,"Coclé",21,"Olá","PA.CC.OL",NA,"","Distrito","District","",""
22,174,"PAN","Panama",3,"Coclé",22,"Penonomé","PA.CC.PN",NA,"","Distrito","District","",""
23,174,"PAN","Panama",4,"Colón",23,"Chagres","PA.CL.CR",NA,"","Distrito","District","",""
24,174,"PAN","Panama",4,"Colón",24,"Colón","PA.CL.CL",NA,"","Distrito","District","",""
25,174,"PAN","Panama",4,"Colón",25,"Donoso","PA.CL.DN",NA,"","Distrito","District","",""
26,174,"PAN","Panama",4,"Colón",26,"Lago Gatún","",NA,"","Water body","Water body","",""
27,174,"PAN","Panama",4,"Colón",27,"Portobelo","PA.CL.PB",NA,"","Distrito","District","",""
28,174,"PAN","Panama",4,"Colón",28,"Santa Isabel","PA.CL.SI",NA,"","Distrito","District","",""
29,174,"PAN","Panama",5,"Darién",29,"Chepigana","PA.DR.CP",NA,"","Distrito","District","",""
30,174,"PAN","Panama",5,"Darién",30,"Pinogana","PA.DR.PG",NA,"","Comarca Indígena","Indigenous Territory","",""
31,174,"PAN","Panama",6,"Emberá",31,"Cémaco","PA.EM.CE",NA,"","Distrito","District","",""
32,174,"PAN","Panama",6,"Emberá",32,"Sambú","PA.EM.SB",NA,"","Distrito","District","",""
33,174,"PAN","Panama",7,"Herrera",33,"Chitré","PA.HE.CT",NA,"","Distrito","District","",""
34,174,"PAN","Panama",7,"Herrera",34,"Las Minas","PA.HE.LN",NA,"","Distrito","District","",""
35,174,"PAN","Panama",7,"Herrera",35,"Los Pozos","PA.HE.LZ",NA,"","Distrito","District","",""
36,174,"PAN","Panama",7,"Herrera",36,"Ocú","PA.HE.OC",NA,"","Distrito","District","",""
37,174,"PAN","Panama",7,"Herrera",37,"Parita","PA.HE.PR",NA,"","Distrito","District","",""
38,174,"PAN","Panama",7,"Herrera",38,"Pesé","PA.HE.PS",NA,"","Distrito","District","",""
39,174,"PAN","Panama",7,"Herrera",39,"Santa María","PA.HE.ST",NA,"","Distrito","District","",""
40,174,"PAN","Panama",8,"Kuna Yala",40,"Kuna Yala","PA.SB.KY",NA,"","Comarca Indígena","Indigenous Territory","",""
41,174,"PAN","Panama",9,"Los Santos",41,"Guararé","PA.LS.GR",NA,"","Distrito","District","",""
42,174,"PAN","Panama",9,"Los Santos",42,"Las Tablas","PA.LS.LT",NA,"","Distrito","District","",""
43,174,"PAN","Panama",9,"Los Santos",43,"Los Santos","PA.LS.LS",NA,"","Distrito","District","",""
44,174,"PAN","Panama",9,"Los Santos",44,"Macaracas","PA.LS.MC",NA,"","Distrito","District","",""
45,174,"PAN","Panama",9,"Los Santos",45,"Pedasí","PA.LS.PD",NA,"","Distrito","District","",""
46,174,"PAN","Panama",9,"Los Santos",46,"Pocrí","PA.LS.PC",NA,"","Distrito","District","",""
47,174,"PAN","Panama",9,"Los Santos",47,"Tonosí","PA.LS.TN",NA,"","Distrito","District","",""
48,174,"PAN","Panama",10,"Ngöbe Buglé",48,"Ñürüm","PA.NB.NR",NA,"","Distrito","District","",""
49,174,"PAN","Panama",10,"Ngöbe Buglé",49,"Besiko","PA.NB.BK",NA,"","Distrito","District","",""
50,174,"PAN","Panama",10,"Ngöbe Buglé",50,"Kankintú","PA.NB.KK",NA,"","Distrito","District","",""
51,174,"PAN","Panama",10,"Ngöbe Buglé",51,"Kusapín","PA.NB.KS",NA,"","Distrito","District","",""
52,174,"PAN","Panama",10,"Ngöbe Buglé",52,"Müna","PA.NB.MU",NA,"","Distrito","District","",""
53,174,"PAN","Panama",10,"Ngöbe Buglé",53,"Mironó","PA.NB.MR",NA,"","Distrito","District","",""
54,174,"PAN","Panama",10,"Ngöbe Buglé",54,"Nole Duima","PA.NB.ND",NA,"","Distrito","District","",""
55,174,"PAN","Panama",11,"Panamá Oeste",55,"Arraiján","PA.PN.AR",NA,"","Distrito","District","",""
56,174,"PAN","Panama",11,"Panamá Oeste",56,"Capira","PA.PN.CA",NA,"","Distrito","District","",""
57,174,"PAN","Panama",11,"Panamá Oeste",57,"Chame","PA.PN.CM",NA,"","Distrito","District","",""
58,174,"PAN","Panama",11,"Panamá Oeste",58,"La Chorrera","PA.PN.LC",NA,"","Distrito","District","",""
59,174,"PAN","Panama",11,"Panamá Oeste",59,"Lago Gatún","",NA,"","Water body","Water body","",""
60,174,"PAN","Panama",11,"Panamá Oeste",60,"San Carlos","PA.PN.SC",NA,"","Distrito","District","",""
61,174,"PAN","Panama",11,"Panamá Oeste",61,"Taboga","PA.PN.TB",NA,"","Distrito","District","",""
62,174,"PAN","Panama",12,"Panamá",62,"Balboa","PA.PN.BB",NA,"","Distrito","District","",""
63,174,"PAN","Panama",12,"Panamá",63,"Chepo","PA.PN.CO",NA,"","Comarca Indígena","Indigenous Territory","",""
64,174,"PAN","Panama",12,"Panamá",64,"Chimán","PA.PN.CN",NA,"","Distrito","District","",""
65,174,"PAN","Panama",12,"Panamá",65,"Lago Alajuela","",NA,"","Water body","Water body","",""
66,174,"PAN","Panama",12,"Panamá",66,"Lago Bayano","",NA,"","Water body","Water body","",""
67,174,"PAN","Panama",12,"Panamá",67,"Panamá","PA.PN.PA",NA,"","Distrito","District","",""
68,174,"PAN","Panama",12,"Panamá",68,"San Miguelito","PA.PN.SM",NA,"","Distrito","District","",""
69,174,"PAN","Panama",13,"Veraguas",69,"Atalaya","PA.VR.AT",NA,"","Distrito","District","",""
70,174,"PAN","Panama",13,"Veraguas",70,"Cañazas","PA.VR.CZ",NA,"","Distrito","District","",""
71,174,"PAN","Panama",13,"Veraguas",71,"Calobre","PA.VR.CB",NA,"","Distrito","District","",""
72,174,"PAN","Panama",13,"Veraguas",72,"La Mesa","PA.VR.LM",NA,"","Distrito","District","",""
73,174,"PAN","Panama",13,"Veraguas",73,"Las Palmas","PA.VR.LA",NA,"","Distrito","District","",""
74,174,"PAN","Panama",13,"Veraguas",74,"Montijo","PA.VR.MT",NA,"","Distrito","District","",""
75,174,"PAN","Panama",13,"Veraguas",75,"Río de Jesús","PA.VR.RJ",NA,"","Distrito","District","",""
76,174,"PAN","Panama",13,"Veraguas",76,"San Francisco","PA.VR.SF",NA,"","Distrito","District","",""
77,174,"PAN","Panama",13,"Veraguas",77,"Santa Fe","PA.VR.SE",NA,"","Distrito","District","",""
78,174,"PAN","Panama",13,"Veraguas",78,"Santiago","PA.VR.SG",NA,"","Distrito","District","",""
79,174,"PAN","Panama",13,"Veraguas",79,"Soná","PA.VR.SO",NA,"","Distrito","District","",""
