"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",1,"Bastimentos",NA,"","Corregimiento","Municipality","",""
2,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",2,"Bocas del Toro",NA,"","Corregimiento","Municipality","",""
3,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",3,"Cauchero",NA,"","Corregimiento","Municipality","",""
4,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",4,"Punta Laurel",NA,"","Corregimiento","Municipality","",""
5,174,"PAN","Panama",1,"Bocas del Toro",1,"Bocas del Toro",5,"Tierra Oscura",NA,"","Corregimiento","Municipality","",""
6,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",6,"Almirante",NA,"","Corregimiento","Municipality","",""
7,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",7,"Changuinola",NA,"","Corregimiento","Municipality","",""
8,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",8,"Guabito",NA,"","Corregimiento","Municipality","",""
9,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",9,"Teribe",NA,"","Corregimiento","Municipality","",""
10,174,"PAN","Panama",1,"Bocas del Toro",2,"Changuinola",10,"Valle del Risco",NA,"","Corregimiento","Municipality","",""
11,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",11,"Chiriquí Grande",NA,"","Corregimiento","Municipality","",""
12,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",12,"Miramar",NA,"","Corregimiento","Municipality","",""
13,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",13,"Punta Peña",NA,"","Corregimiento","Municipality","",""
14,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",14,"Punta Robalo",NA,"","Corregimiento","Municipality","",""
15,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",15,"Rambala",NA,"","Corregimiento","Municipality","",""
16,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",16,"Alanje",NA,"","Corregimiento","Municipality","",""
17,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",17,"Divalá",NA,"","Corregimiento","Municipality","",""
18,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",18,"El Tejar",NA,"","Corregimiento","Municipality","",""
19,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",19,"Guarumal",NA,"","Corregimiento","Municipality","",""
20,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",20,"Palo Grande",NA,"","Corregimiento","Municipality","",""
21,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",21,"Querévalo",NA,"","Corregimiento","Municipality","",""
