"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,233,"TTO","Trinidad and Tobago",1,"Arima","TT.AR",NA," ","Borough","Borough"," ",""
2,233,"TTO","Trinidad and Tobago",2,"Chaguanas","TT.CH",NA," ","Borough","Borough"," "," "
3,233,"TTO","Trinidad and Tobago",3,"Couva-Tabaquite-Talparo","TT.CT",NA," ","Region","Region"," ","Couva"
4,233,"TTO","Trinidad and Tobago",4,"Diego Martin","TT.DM",NA," ","Region","Region"," ","Petit Valley"
5,233,"TTO","Trinidad and Tobago",5,"Mayaro/Rio Claro","TT.MR",NA," ","Region","Region"," ","Mayaro|Rio Claro"
6,233,"TTO","Trinidad and Tobago",6,"Penal-Debe","TT.PD",NA," ","Region","Region"," ","Penal"
7,233,"TTO","Trinidad and Tobago",7,"Point Fortin","TT.PF",NA," ","Borough","Borough"," "," "
8,233,"TTO","Trinidad and Tobago",8,"Port of Spain","TT.PS",NA," ","City","City"," ","Port-of-Spain"
9,233,"TTO","Trinidad and Tobago",9,"Princes Town","TT.PT",NA," ","Region","Region"," "," "
10,233,"TTO","Trinidad and Tobago",10,"San Fernando","TT.SF",NA," ","City","City"," "," "
11,233,"TTO","Trinidad and Tobago",11,"San Juan-Laventille","TT.SL",NA," ","Region","Region"," ","Laventille"
12,233,"TTO","Trinidad and Tobago",12,"Sangre Grande","TT.SN",NA," ","Region","Region"," "," "
13,233,"TTO","Trinidad and Tobago",13,"Siparia","TT.SI",NA," ","Region","Region"," "," "
14,233,"TTO","Trinidad and Tobago",14,"Tobago","TT.TB",NA," ","Region","Region"," ","Tabago"
15,233,"TTO","Trinidad and Tobago",15,"Tunapuna/Piarco","TT.TP",NA," ","Region","Region"," ","Tunapuna"
